proud-spaceship-120 - average_num_of_new_cells_visited_in_minute,atomic-darkness-117 - average_num_of_new_cells_visited_in_minute,likely-disco-115 - average_num_of_new_cells_visited_in_minute
5,6.8,7.92
4.68,6.36,8.52
5.24,5.96,5.24
5.36,5.64,4.56
4.6,6.8,4.16
7.24,4.76,6.4
6.4,5.8,3
5.92,4.92,4.6
4.68,5.72,5.96
4.64,7.24,3.96
4.4,6.08,2.8
4.24,5.52,2.4
5.2,4.08,4.36
3.44,4.6,6.08
3.76,5.6,3
3.72,6,4.72
3.92,3.8,3.04
5.84,4.04,5.4
2.76,4.12,4.8
2.6,3.92,2.76
2.8,4.52,2.12
2.96,4.44,2.92
3.36,4.56,4.56
2.92,4.44,6.24
2.84,3.88,5.84
3.16,3.96,4.28
1.92,4.04,2.88
3.68,4.24,3.52
2.44,3.24,3.56
2.56,3.2,2.64
2.16,3.16,2.92
1.88,4.28,2.44
2.56,4.16,4.28
2.8,4.52,1.56
1.76,3.56,2.8
44.96,11.32,41.76
41.48,9.76,30.84
40.36,8.88,41.48
41.52,10.88,46.36
40.48,9.04,44.6
36.72,11.16,44.08
39.72,9.76,38.8
33.76,9.48,30.16
36.16,10.48,34.44
33.96,10.2,34.96
33.68,10.28,31.72
33.04,11.2,27.84
30.16,9.32,22.92
26.6,8,26.8
28.04,9.92,24.84
26.32,8.52,24.64
26.24,7.2,23.96
26.64,9.72,20.12
20.72,9.28,22.16
20.56,7.76,21.32
24.8,9.76,17
20.28,8.16,13.44
19.64,6.08,18.32
23.32,5.44,13.12
18.44,7.12,13.24
19.48,8.36,13.44
16.44,7.16,11.32
19.8,8.52,19.2
17.6,8.16,16.4
19.76,6.04,13.36
20.28,6.8,16.12
17.52,6.56,15.76
13.6,8.04,17.12
17.28,8.56,12.44
12.92,7.52,14.48
11.2,8.6,13.4
10.6,7.4,9.92
11.64,7.64,11.2
12.48,7.4,10.48
9.36,8.6,11.8
11,8.24,10.2
9.08,8.28,14.2
11.68,7.72,12.96
9.48,6.44,11.44
10.24,7.2,13.92
10.76,5.16,12.2
11.24,6.04,10.84
10.8,6.64,10.52
10.6,8,10.4
9.92,7.16,8.24
9.48,5.68,8.84
11.64,6.88,7.04
7.12,6.64,9.04
7.16,5.88,7.56
10.28,5.6,7.12
7.44,5.28,6.48
6.68,5.44,10.4
6.64,6.08,9.48
6.44,5.68,7.32
6.32,6.72,8.28
7.96,5.72,5.08
7.24,6.16,9.16
7.6,6.56,5.68
7.36,5.2,7.88
6.32,5.36,6.64
8.16,5.04,6.84
5.8,4.92,5.08
6.04,5.04,6.72
5.64,6.96,6.6
3.96,6.52,4.6
6.16,6.72,6
5.28,5.36,4.92
5.2,4.56,6.92
3.04,4.88,5.96
5.8,4,6.04
5.08,4.16,6.44
3.6,5.68,5.04
3.32,4.52,3.08
3.52,4.88,4.88
4.96,4.2,3.56
3.64,4.08,5.2
3.32,4.72,5.6
4.16,5.12,3.44
3.76,4.92,3.4
3.68,6.92,4.4
4.04,5.16,3.84
3.28,4.12,4.96
4.6,5.32,5.64
2.6,5.52,2.16
3.24,4.28,2.48
2.36,5.6,2.56
2.72,5.04,6.04
2.44,6.04,5.32
4.32,4.88,2.24
2.56,4.24,3.92
2.28,5.24,3.2
2.2,4.24,3.36
2.2,5,4.36
2,5.2,2.64
2.12,6.24,1.44
46.68,10.16,46.44
42,9.32,38.32
37.84,8.2,41.64
37.72,8.32,40.68
